,country,population,gdp,# projects,gdp per capita,# projects per capita
125,hn,8450936.0,15839344591.9842,4,1874.2710383777844,4.733203517338198e-07
126,ls,2022752.0,2234731973.55119,4,1104.7978069240273,1.9775039154577527e-06
127,cd,66391260.0,21565721036.3591,4,324.82771130355263,6.024889420685795e-08
128,do,9775756.0,53860187452.3853,4,5509.567490471867,4.0917551542816737e-07
129,ir,75373864.0,486807616896.703,4,6458.57318521846,5.306879318274037e-08
130,fj,905176.0,3140167239.46869,3,3469.1233964098583,3.3142725834533836e-06
131,gy,747937.0,3432912511.30491,3,4589.841806602575,4.011033014812745e-06
132,cg,4437883.0,13148396205.671,3,2962.7631475798257,6.759979927366268e-07
133,bi,9126612.0,2032135191.46211,3,222.66041237012269,3.2870905435664406e-07
134,bh,1213655.0,25713271276.5957,2,21186.639758906527,1.6479147698481034e-06
135,ao,23364196.0,81699526880.8079,2,3496.783149773607,8.560106241190581e-08
136,bb,274717.0,4529928300.0,2,16489.435673802494,7.28021928020472e-06
137,tt,1410297.0,22157919433.8752,2,15711.52702861539,1.4181410015053566e-06
138,cf,4660066.0,2142591539.43526,2,459.777080289262,4.29178470862859e-07
139,tg,6571862.0,4660369658.37123,2,709.1399147412453,3.0432775368685465e-07
140,ye,24743944.0,30906749533.221,2,1249.0631862576556,8.082785832363668e-08
141,zw,12839774.0,12041655200.0,2,937.8401208619404,1.557659815507656e-07
142,ly,6491991.0,75380800664.4198,2,11611.353229605495,3.08071899668376e-07
143,mv,361579.0,2588176054.6875,2,7157.982224320273,5.531294682489857e-06
144,pf,283795.0,6086644790.8086,2,21447.32920174281,7.0473405098750856e-06
145,sc,92424.0,981918002.869768,2,10624.058717105601,2.163940102137973e-05
146,kw,2943364.0,115416745328.985,2,39212.528701507865,6.794946190821115e-07
147,qa,1713512.0,125122306346.154,2,73020.96883252292,1.167193459981605e-06
148,mo,557307.0,28241799668.0086,2,50675.4798845315,3.588686307546828e-06
149,sv,6114039.0,18447920000.0,1,3017.304927233863,1.6355800151094882e-07
150,mm,49390988.0,37796052938.7278,1,765.2418886361982,2.0246608551341392e-08
151,aw,100354.0,2453631284.9162,1,24449.76069629711,9.96472487394623e-06
