source,target,real collaborations,weight
cz,gr,575.9999999999998,673.7807898385538
bg,gr,571.0000000000001,308.0085839903601
cy,gr,571.0000000000001,140.50579672906846
ie,pt,567.9999999999999,481.02812660989036
cz,fi,567.9999999999999,514.0629810415771
ee,it,566.0,621.2844254472292
gb,lt,563.9999999999999,793.29173531693
at,ie,563.0,564.2028456046032
fi,ie,562.0,417.8559722646935
no,pl,558.9999999999998,1373.4123541582994
gb,hr,554.0000000000002,1106.046176435172
ch,cz,552.0000000000001,753.2976467765545
pl,pt,552.0000000000001,1296.125888131105
de,lt,552.0000000000001,939.466162606631
cz,pl,550.9999999999999,1112.065055558033
bg,nl,549.0,665.0923815459121
fi,hu,543.0000000000002,391.4211864282554
gb,is,532.0000000000001,247.00410003235214
dk,pl,528.9999999999999,1171.736318247102
cy,fr,527.9999999999998,783.6584518646717
fr,sk,527.9999999999998,1525.6544600306765
hu,pl,527.0000000000001,925.5309270647422
ee,es,522.9999999999999,481.1066273221306
ee,fr,516.0,719.273908790534
ie,no,511.0000000000001,545.471895996915
es,sk,509.9999999999999,1079.9652698003276
it,lt,492.0000000000003,729.1676070255633
at,si,490.0000000000002,171.11739264640826
es,hr,484.99999999999983,797.2895683979986
hr,it,481.00000000000017,1255.7162224428876
at,ro,474.00000000000017,706.3526407065159
pt,ro,473.0,667.4068789965185
pl,ro,457.0000000000002,1193.602898206529
ie,pl,455.0000000000002,1006.4896318599043
hu,ro,453.0,444.0962052014141
se,si,450.99999999999983,233.81609905825877
fr,lt,449.00000000000006,833.4991525533867
gr,si,440.0,187.77014676094603
de,lu,434.0000000000001,649.5014718653223
ch,ro,430.99999999999994,857.8944471771363
cz,dk,419.9999999999999,558.6860665444389
es,lv,416.0,420.5082257503991
fi,ro,414.9999999999998,546.4898477300366
dk,hu,406.9999999999999,424.49005662137034
es,lt,404.00000000000017,589.7805489180687
fr,hr,403.0000000000001,1126.8125434602393
nl,sk,400.0000000000001,609.3262303445811
be,bg,400.0000000000001,354.68966883464793
ee,nl,397.0000000000001,261.23784808228635
de,lv,395.9999999999999,673.1726903482605
de,is,394.00000000000006,313.826418013037
cz,no,390.99999999999994,678.8612881357899
hu,pt,389.0,501.5326797887839
bg,ro,389.0,266.0904251006938
hu,no,384.0000000000001,555.1862654855593
gb,lv,384.0000000000001,564.6655930639309
fr,lv,379.99999999999994,594.3770307867535
cz,hu,373.00000000000017,391.49472144003636
it,lv,362.99999999999994,521.8861924025541
cz,pt,355.0000000000001,615.0420905444552
ee,se,341.9999999999999,158.73139473656067
ch,si,340.9999999999999,218.6433345774371
pt,si,334.99999999999994,177.6653346057248
fr,lu,332.9999999999999,588.1419018607305
be,sk,328.0000000000001,423.1752716875363
fi,si,328.0000000000001,149.52651934436136
gb,lu,326.99999999999994,559.8553036602325
no,ro,323.00000000000006,685.6384374159375
es,is,312.9999999999999,186.8838867864118
at,bg,309.99999999999994,288.3336991921657
pl,si,308.00000000000006,323.40636810726204
it,mt,307.0,188.2052313062049
bg,se,306.0000000000001,435.80145690196576
cy,nl,305.00000000000006,295.8821781007196
ee,fi,304.0000000000001,94.32890375918728
