lat_lon,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,GR,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,GB
0,"(47.6139487927463, 14.076158884337072)","(50.65244095902296, 4.580834113854935)","(42.7531187620217, 25.19511095327711)","(45.01623399593114, 16.566189771645533)","(34.90706085094344, 33.03955380295407)","(49.775245294369, 15.334558102365815)","(56.06393446179454, 9.876372937675002)","(58.643695426630906, 25.824725613026608)","(64.50409403963651, 26.211764610296353)","(42.46070432663372, -2.8766966992706267)","(51.13372269040778, 10.288485092742851)","(39.066715899713955, 22.719813447095053)","(47.19995117195427, 19.357628627745918)","(65.07427633529105, -18.761028770831768)","(53.18059120995006, -8.010236544877012)","(42.751183052964265, 12.140788372235871)","(56.80717513427924, 24.833296149803438)","(47.16, 9.32)","(55.284319484766066, 23.88064027584349)","(49.76570507415103, 5.965223432343999)","(35.5, 14.35)","(52.298700374441786, 5.512217100965399)","(69.15685630975351, 15.468119955206761)","(52.14826021933187, 19.31101430844868)","(39.63404977497817, -8.055765588295687)","(45.857101035738005, 24.943252494635377)","(48.7267113517275, 19.507657147433708)","(46.12542205901039, 14.938152320795732)","(40.348656106226734, -3.6170206023873743)","(62.811484968080336, 16.59626584684802)","(46.79173768366762, 8.118300613385486)","(53.91477348053706, -2.8531353951805545)"
"(69.15685630975351, 15.468119955206761)",2400.6528678040786,2141.92825863695,2993.2763550942313,2688.8972804301434,3962.954038330992,2159.086231487042,1485.725835019941,1273.464307956373,699.4556011010353,3157.008644085638,2026.7475422489874,3377.138089347943,2454.9669237325234,1530.8909705734593,2153.141414353669,2946.1811942382983,1452.1722744826038,2473.5742741954,1603.2381834149123,2220.1714484387203,3745.494474254013,1949.4010891833414,0.0,1905.800711118256,3570.9162907956274,2648.9308714682097,2286.361367448242,2565.068249372228,3399.5412205569487,709.3732261741782,2524.3063357267333,1940.4996219682073
"(52.14826021933187, 19.31101430844868)",628.862947477918,1036.6512713434295,1133.9634093230818,818.3800577238574,2205.344411304751,384.26146250626795,754.4658712211889,831.7526220516821,1432.360163745153,1981.377644169354,634.2744654511525,1477.6123225213632,550.3743933950998,2579.2342500663244,1840.7528946102418,1175.0432561355217,629.7110884259445,908.7455993072518,461.15818203791724,972.8548781785793,1891.1993002544368,941.6686897823402,1905.800711118256,0.0,2515.2542679429575,811.4124191384166,380.8601727008192,741.600369488613,2185.7038247340233,1198.3765227038828,1004.6841497107471,1493.6348731350338
"(39.63404977497817, -8.055765588295687)",1984.6057029921328,1572.5485048873797,2792.5143727180484,2106.391734363548,3650.4462165565487,2155.705916065235,2252.195071609549,3193.254048568392,3543.738172908713,536.6181849537082,1913.165833841426,2640.4709204541164,2358.8884830549823,2913.836411001334,1505.8248248300097,1724.8599773534247,3051.83530668213,1631.8644453301622,2929.0435368946983,1576.9509146178095,2026.1746998453364,1750.9539813426293,3570.9162907956274,2515.2542679429575,0.0,2767.332720675913,2406.988700491564,2003.3797327228895,387.25834196977047,3058.789898593258,1531.692264794122,1635.3833045770514
"(45.857101035738005, 24.943252494635377)",852.4469686765824,1597.1325119068965,345.49339301894014,661.7797440648626,1395.069281834793,840.2368215947272,1545.7792609799742,1424.01797444955,2077.3199194773815,2245.3331328714926,1228.739634262319,776.0543677959607,453.6719458161931,3383.225596583145,2495.193576600278,1076.8568302019182,1218.2622336582006,1205.7500223087898,1051.345036033669,1481.6929661606853,1454.943468629828,1583.2746226433953,2648.9308714682097,811.4124191384166,2767.332720675913,0.0,520.1924866159319,775.2108737490988,2389.975901781604,1959.869375624711,1297.3390893754524,2171.0087753494013
"(48.7267113517275, 19.507657147433708)",422.40557428558964,1096.1560907397152,797.4440454803175,469.41587805541104,1896.48271476507,325.370746396042,1045.0902925319767,1178.7576259412608,1801.9906001318614,1871.6852911254466,713.399583580532,1103.6426469402065,170.1290717770217,2883.5288443207064,1982.5222436994907,876.5551737606539,967.6776159348476,780.122938412275,788.6365535474438,991.3997161709462,1528.906305660849,1067.0928412536678,2286.361367448242,380.8601727008192,2406.988700491564,520.1924866159319,0.0,449.8644865611742,2049.0084220799854,1578.3450442825585,879.6369562405765,1653.7322431527775
"(46.12542205901039, 14.938152320795732)",178.04634085007402,916.2236784776874,897.5528576534646,177.04640864255953,1967.9416869143492,406.89845980138324,1160.3409721411501,1573.3525965488782,2159.927150639721,1475.3768132631892,653.6411891918916,1010.2549189430244,358.64726496210045,2927.5442447530695,1822.7662061037227,436.03233455749205,1369.8797249075799,445.13129463489526,1196.651959988677,782.261545615217,1180.994740753701,969.5935163505319,2565.068249372228,741.600369488613,2003.3797327228895,775.2108737490988,449.8644865611742,0.0,1633.118940205925,1860.3021163576445,528.943044943679,1534.7517265650026
"(40.348656106226734, -3.6170206023873743)",1627.5051615493064,1310.3594821587585,2406.7973150334005,1728.2368205437267,3267.647042577648,1815.2351246103747,2006.65322255761,2903.898516150555,3303.053846396287,242.59590332635463,1609.5494803163838,2254.706342610381,1990.8278060044763,2917.5423555175653,1464.7001895507544,1339.4003074317754,2749.1635548708846,1285.0199570527222,2615.604914613606,1288.0668980859127,1665.2742652169447,1500.1613611392168,3399.5412205569487,2185.7038247340233,387.25834196977047,2389.975901781604,2049.0084220799854,1633.118940205925,0.0,2837.238370246114,1185.8128841009989,1509.2765304449847
"(62.811484968080336, 16.59626584684802)",1699.1335691277736,1535.0725257356048,2301.495284473375,1980.6250930517222,3306.814848560097,1453.5547132743764,841.8431608611351,683.8680771619948,511.63149110280153,2596.6314187525427,1354.2464400363774,2673.4895293811896,1746.457308636757,1728.3375609667983,1789.3266297829894,2251.156661879422,811.7604871656089,1800.7942623978413,935.595329168784,1589.973409807028,3041.296698349565,1341.503972389388,709.3732261741782,1198.3765227038828,3058.789898593258,1959.869375624711,1578.3450442825585,1860.3021163576445,2837.238370246114,0.0,1860.987124765351,1498.605473867267
"(46.79173768366762, 8.118300613385486)",460.45059025016826,501.92555004904534,1420.9098829785153,684.1943393391585,2465.095313998699,629.5731400152853,1038.717753881392,1769.8156292835793,2258.717709107958,995.1778337097365,508.2845729931309,1464.9158448394967,855.3470873430795,2597.8496196606234,1352.925412679418,550.2897278210395,1595.5241067718312,100.18289577331414,1448.3539925206005,367.2418712534625,1357.655986342986,640.7531203760018,2524.3063357267333,1004.6841497107471,1531.692264794122,1297.3390893754524,879.6369562405765,528.943044943679,1185.8128841009989,1860.987124765351,0.0,1110.0249104069546
"(53.91477348053706, -2.8531353951805545)",1379.7666409854282,623.29873994949,2398.1281301459626,1711.6177719690006,3494.17915244856,1330.7825395129942,847.8216336734824,1836.6599393771367,2007.7425784892791,1273.6202599845476,942.4486012041631,2539.9738030826825,1732.4109962088514,1526.097300117121,351.37931512159327,1659.5551553181333,1772.3376519073804,1141.4881671257883,1723.7991670497947,762.308075345759,2444.5342340893353,587.9855253968492,1940.4996219682073,1493.6348731350338,1635.3833045770514,2171.0087753494013,1653.7322431527775,1534.7517265650026,1509.2765304449847,1498.605473867267,1110.0249104069546,0.0
