,country,population,gdp,# projects,gdp per capita,# projects per capita
92,pg,4136651.0,4377980510.05598,1,1058.3393450537596,2.4174144736889815e-07
93,mu,1118719.0,3224265821.36824,1,2882.105176874836,8.938795175553468e-07
94,mm,41237808.0,2216072577.11344,1,53.73885481773037,2.4249591539880104e-08
95,py,4277057.0,7157424031.06045,1,1673.4460239974471,2.3380562849641705e-07
96,la,4561117.0,1127806944.61513,1,247.26551513919287,2.1924454031764588e-07
97,jp,124444696.0,3908808434705.26,1,31410.00428580146,8.035698042124672e-09
98,jm,2434580.0,3535460089.80719,1,1452.1848079780455,4.1074846585448005e-07
99,sk,5301897.0,15495514296.8042,1,2922.6358597317526,1.886117365161941e-07
100,sl,4301575.0,679997997.597116,1,158.08116738569385,2.3247298954452729e-07
101,hn,5344774.0,4943700431.07368,1,924.9596766998343,1.8709865000840074e-07
