Population 1,Population 2,GDP capita 1,GDP capita 2,Distance,collaboration,source,target,real collaborations,estimated collaborations
6.9223532165844235,7.036546978420406,4.671237533239733,4.6459779465998405,2.8865839469701857,3.337459261290656,at,be,2175.0,1019.879999673212
7.019728857622879,7.795494665444658,4.300562738981344,4.626961859043247,3.209359638062898,3.332034277027518,cz,fr,2148.0,3499.625248998706
6.72943038972995,6.972282559750049,4.6675083911647,4.723034963422517,2.708957267611294,3.331832044436249,fi,se,2147.0000000000005,697.0026556447481
7.7976832670711635,6.999427744170248,4.5987597562830995,4.121722724767051,3.2386509316831047,3.3271545124094315,gb,hu,2124.0,2135.2257818490098
7.019728857622879,7.7976832670711635,4.300562738981344,4.5987597562830995,3.1241070940882008,3.3230457354817013,cz,gb,2103.9999999999995,3345.461289261738
6.655578367449881,7.776864209903014,4.690605474829142,4.55275736101534,3.2761381774935887,3.3092041796704077,ie,it,2038.0000000000005,2512.4046392292967
7.910224541894177,7.308248704399826,4.621211942504339,3.9222752131869845,3.0894598671155413,3.3005954838899636,de,ro,1998.0000000000005,3566.0053661899533
7.795494665444658,6.999427744170248,4.626961859043247,4.121722724767051,3.2620371709754825,3.2997251539756367,fr,hu,1993.999999999999,2196.693804193053
7.019728857622879,7.776864209903014,4.300562738981344,4.55275736101534,2.9130029292420194,3.296665190261531,cz,it,1979.999999999999,2934.0562440585295
6.893342462763831,6.972282559750049,4.883976337304494,4.723034963422517,3.269743368475902,3.295347148333618,ch,se,1973.9999999999998,1250.6022953878114
7.036546978420406,7.042724477852074,4.6459779465998405,4.430214661299593,3.2827275518582395,3.2893659515200318,be,gr,1947.0000000000005,1003.1896043970592
6.999427744170248,7.776864209903014,4.121722724767051,4.55275736101534,2.877031775230831,3.2830749747354715,hu,it,1918.9999999999998,2361.393275716096
7.019728857622879,7.668132125103672,4.300562738981344,4.4848005154400035,3.2589328865111225,3.2739267801005254,cz,es,1878.999999999999,2346.779529076263
6.9223532165844235,6.972282559750049,4.671237533239733,4.723034963422517,3.2302275201610193,3.2688119037397803,at,se,1856.9999999999993,1055.703009535903
7.036546978420406,6.744359491599115,4.6459779465998405,4.763490013187067,2.843486556825603,3.2645817292380777,be,dk,1839.0000000000007,801.2820251914583
7.220555782256729,7.586557555605982,4.707522867498735,4.090772504465759,2.9738981304910475,3.2641091563058082,nl,pl,1836.9999999999995,2486.4347877605524
