,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
235,ee,es,147,1396881.0,5686579747.53524,40741652.0,598363313494.903,2903.898516150555
236,fr,lu,143,58665456.0,1365639660792.16,435634.0,21230182989.3036,1059.8772188727976
237,es,is,142,40741652.0,598363313494.903,281469.0,9025660361.75842,2917.5423555175653
238,de,lu,141,81551680.0,1947981991011.77,435634.0,21230182989.3036,342.62431091712307
239,dk,sk,140,5340662.0,164157842126.821,5376700.0,29242558796.5507,1045.0902925319767
240,hu,ro,140,10202054.0,47218411470.2538,21919882.0,37253738081.0669,453.6719458161931
241,hu,no,138,10202054.0,47218411470.2538,4491204.0,171456390281.958,2454.9669237325234
242,cz,si,136,10234712.0,61823494487.0363,1984339.0,20289627636.6767,406.89845980138324
243,fi,si,136,5176208.0,126019543413.334,1984339.0,20289627636.6767,2159.927150639721
244,ee,fi,135,1396881.0,5686579747.53524,5176208.0,126019543413.334,653.3919984437767
245,cy,es,134,948238.0,9985844486.33365,40741652.0,598363313494.903,3267.647042577648
246,it,lv,133,56966400.0,1146676894209.73,2392536.0,7958852838.93395,1804.4158387582938
247,bg,cz,132,8097694.0,13245990274.4581,10234712.0,61823494487.0363,1087.7978363634147
248,hu,ie,131,10202054.0,47218411470.2538,3768954.0,100207610429.909,2049.5799688333614
249,hu,si,129,10202054.0,47218411470.2538,1984339.0,20289627636.6767,358.64726496210045
250,bg,pt,127,8097694.0,13245990274.4581,10300632.0,118605192877.388,2792.5143727180484
251,lt,se,126,3599639.0,11524776866.6379,8871042.0,262834187366.578,935.595329168784
252,is,no,126,281469.0,9025660361.75842,4491204.0,171456390281.958,1530.8909705734593
253,ee,se,126,1396881.0,5686579747.53524,8871042.0,262834187366.578,683.8680771619948
254,lt,nl,123,3599639.0,11524776866.6379,15899138.0,417479337444.707,1251.1798349155617
255,it,mt,122,56966400.0,1146676894209.73,399212.0,4323339212.2281,827.2811113562019
256,ee,nl,122,1396881.0,5686579747.53524,15899138.0,417479337444.707,1457.7753959574097
257,gb,lu,121,58850044.0,1666048767079.76,435634.0,21230182989.3036,762.308075345759
258,bg,fi,121,8097694.0,13245990274.4581,5176208.0,126019543413.334,2421.617407550959
259,fr,lv,121,58665456.0,1365639660792.16,2392536.0,7958852838.93395,2529.7012730165743
260,bg,hu,120,8097694.0,13245990274.4581,10202054.0,47218411470.2538,675.068287413582
261,lt,pl,120,3599639.0,11524776866.6379,38504432.0,172220451786.957,461.15818203791724
262,pt,si,119,10300632.0,118605192877.388,1984339.0,20289627636.6767,2003.3797327228895
263,pt,ro,119,10300632.0,118605192877.388,21919882.0,37253738081.0669,2767.332720675913
264,dk,ro,118,5340662.0,164157842126.821,21919882.0,37253738081.0669,1545.7792609799742
265,ee,pl,115,1396881.0,5686579747.53524,38504432.0,172220451786.957,831.7526220516821
266,bg,se,114,8097694.0,13245990274.4581,8871042.0,262834187366.578,2301.495284473375
267,is,it,113,281469.0,9025660361.75842,56966400.0,1146676894209.73,3143.728886405653
268,cz,ro,113,10234712.0,61823494487.0363,21919882.0,37253738081.0669,840.2368215947272
269,bg,dk,109,8097694.0,13245990274.4581,5340662.0,164157842126.821,1842.4962815002546
270,cz,ie,109,10234712.0,61823494487.0363,3768954.0,100207610429.909,1657.4655708152075
271,no,si,107,4491204.0,171456390281.958,1984339.0,20289627636.6767,2565.068249372228
272,ch,si,107,7182052.0,279209007352.669,1984339.0,20289627636.6767,528.943044943679
